timestamp,acc_x,acc_y,acc_z,ecg_1,ecg_2
0.0,-2380.0,-175.0,718.0,372553.0,372553.0
1.0,-2368.0,-192.0,739.0,354976.0,354976.0
2.0,-2378.0,-204.0,729.0,344406.0,344406.0
3.0,-2394.0,-194.0,736.0,337809.0,337809.0
4.0,-2392.0,-216.0,739.0,333430.0,333430.0
5.0,-2406.0,-214.0,756.0,330117.0,330117.0
6.0,-2391.0,-214.0,756.0,325898.0,325898.0
7.0,-2385.0,-224.0,766.0,325356.0,325356.0
8.0,-2400.0,-204.0,772.0,314173.0,314173.0
9.0,-2381.0,-194.0,782.0,294390.0,294390.0
10.0,-2387.0,-178.0,812.0,277163.0,277163.0
11.0,-2383.0,-173.0,808.0,262679.0,262679.0
12.0,-2383.0,-154.0,815.0,250998.0,250998.0
13.0,-2406.0,-154.0,814.0,241168.0,241168.0
14.0,-2413.0,-140.0,802.0,232264.0,232264.0
15.0,-2411.0,-138.0,788.0,224119.0,224119.0
16.0,-2407.0,-138.0,784.0,216684.0,216684.0
17.0,-2406.0,-144.0,774.0,210013.0,210013.0
18.0,-2397.0,-148.0,778.0,203796.0,203796.0
19.0,-2403.0,-160.0,758.0,198061.0,198061.0
20.0,-2377.0,-168.0,748.0,192864.0,192864.0
21.0,-2369.0,-160.0,750.0,188421.0,188421.0
22.0,-2368.0,-188.0,748.0,184648.0,184648.0
23.0,-2369.0,-196.0,743.0,181001.0,181001.0
24.0,-2361.0,-206.0,754.0,177285.0,177285.0
25.0,-2357.0,-208.0,756.0,173612.0,173612.0
26.0,-2378.0,-214.0,764.0,170521.0,170521.0
27.0,-2389.0,-228.0,758.0,168078.0,168078.0
28.0,-2397.0,-232.0,752.0,165896.0,165896.0
29.0,-2401.0,-228.0,743.0,163487.0,163487.0
30.0,-2409.0,-226.0,724.0,161054.0,161054.0
31.0,-2408.0,-238.0,735.0,159018.0,159018.0
32.0,-2420.0,-240.0,708.0,157327.0,157327.0
33.0,-2421.0,-236.0,730.0,155796.0,155796.0
34.0,-2420.0,-244.0,712.0,153952.0,153952.0
35.0,-2432.0,-240.0,724.0,152093.0,152093.0
36.0,-2428.0,-225.0,716.0,150594.0,150594.0
37.0,-2430.0,-214.0,702.0,149488.0,149488.0
38.0,-2416.0,-206.0,710.0,148533.0,148533.0
39.0,-2418.0,-202.0,696.0,147429.0,147429.0
40.0,-2419.0,-184.0,714.0,146003.0,146003.0
41.0,-2414.0,-171.0,720.0,145058.0,145058.0
42.0,-2418.0,-177.0,732.0,144398.0,144398.0
43.0,-2421.0,-177.0,739.0,143662.0,143662.0
44.0,-2408.0,-176.0,747.0,142784.0,142784.0
45.0,-2432.0,-188.0,744.0,141718.0,141718.0
46.0,-2433.0,-182.0,754.0,140978.0,140978.0
47.0,-2435.0,-198.0,764.0,140635.0,140635.0
48.0,-2447.0,-194.0,760.0,140300.0,140300.0
49.0,-2444.0,-188.0,766.0,139624.0,139624.0
50.0,-2435.0,-218.0,768.0,138870.0,138870.0
51.0,-2435.0,-208.0,764.0,138353.0,138353.0
52.0,-2420.0,-212.0,770.0,138393.0,138393.0
53.0,-2420.0,-221.0,768.0,138443.0,138443.0
54.0,-2407.0,-231.0,780.0,138116.0,138116.0
55.0,-2397.0,-236.0,792.0,137775.0,137775.0
56.0,-2397.0,-264.0,786.0,137501.0,137501.0
57.0,-2382.0,-290.0,782.0,137546.0,137546.0
58.0,-2369.0,-294.0,770.0,137624.0,137624.0
59.0,-2369.0,-296.0,764.0,137176.0,137176.0
60.0,-2364.0,-307.0,770.0,136749.0,136749.0
61.0,-2359.0,-308.0,778.0,136515.0,136515.0
62.0,-2364.0,-328.0,788.0,136262.0,136262.0
63.0,-2364.0,-326.0,790.0,136046.0,136046.0
64.0,-2359.0,-324.0,790.0,135428.0,135428.0
65.0,-2371.0,-313.0,774.0,134648.0,134648.0
66.0,-2376.0,-324.0,764.0,133903.0,133903.0
67.0,-2394.0,-326.0,745.0,133266.0,133266.0
68.0,-2404.0,-330.0,747.0,132788.0,132788.0
69.0,-2421.0,-314.0,752.0,132048.0,132048.0
70.0,-2419.0,-326.0,750.0,131032.0,131032.0
71.0,-2416.0,-319.0,748.0,130546.0,130546.0
72.0,-2416.0,-309.0,772.0,130317.0,130317.0
73.0,-2421.0,-312.0,766.0,129723.0,129723.0
74.0,-2426.0,-302.0,772.0,128949.0,128949.0
75.0,-2430.0,-286.0,794.0,128364.0,128364.0
76.0,-2442.0,-273.0,794.0,128291.0,128291.0
77.0,-2445.0,-273.0,792.0,128444.0,128444.0
78.0,-2462.0,-277.0,796.0,128449.0,128449.0
79.0,-2459.0,-292.0,788.0,128059.0,128059.0
80.0,-2459.0,-292.0,794.0,127649.0,127649.0
81.0,-2458.0,-298.0,788.0,127551.0,127551.0
82.0,-2468.0,-304.0,784.0,127746.0,127746.0
83.0,-2461.0,-322.0,792.0,127690.0,127690.0
84.0,-2462.0,-323.0,804.0,127394.0,127394.0
85.0,-2447.0,-326.0,820.0,127079.0,127079.0
86.0,-2442.0,-338.0,819.0,126710.0,126710.0
87.0,-2447.0,-338.0,819.0,126598.0,126598.0
88.0,-2442.0,-346.0,829.0,126171.0,126171.0
89.0,-2436.0,-358.0,840.0,125591.0,125591.0
90.0,-2449.0,-346.0,821.0,125326.0,125326.0
91.0,-2438.0,-344.0,829.0,125209.0,125209.0
92.0,-2439.0,-346.0,829.0,125458.0,125458.0
93.0,-2431.0,-332.0,838.0,125756.0,125756.0
94.0,-2435.0,-324.0,836.0,125561.0,125561.0
95.0,-2433.0,-317.0,846.0,125133.0,125133.0
96.0,-2426.0,-318.0,842.0,124873.0,124873.0
97.0,-2424.0,-300.0,852.0,124809.0,124809.0
98.0,-2427.0,-304.0,860.0,124929.0,124929.0
99.0,-2426.0,-296.0,868.0,124916.0,124916.0
100.0,-2424.0,-282.0,860.0,124416.0,124416.0
101.0,-2428.0,-271.0,858.0,123995.0,123995.0
102.0,-2422.0,-277.0,854.0,124045.0,124045.0
103.0,-2415.0,-282.0,854.0,124169.0,124169.0
104.0,-2420.0,-254.0,856.0,124126.0,124126.0
105.0,-2397.0,-240.0,862.0,124104.0,124104.0
106.0,-2404.0,-234.0,856.0,124355.0,124355.0
107.0,-2407.0,-223.0,848.0,124629.0,124629.0
108.0,-2406.0,-212.0,854.0,124469.0,124469.0
109.0,-2383.0,-184.0,862.0,123847.0,123847.0
110.0,-2402.0,-175.0,850.0,123486.0,123486.0
111.0,-2399.0,-168.0,844.0,123694.0,123694.0
112.0,-2408.0,-170.0,835.0,124075.0,124075.0
113.0,-2414.0,-136.0,840.0,123918.0,123918.0
114.0,-2428.0,-142.0,814.0,123428.0,123428.0
115.0,-2438.0,-148.0,821.0,122921.0,122921.0
116.0,-2425.0,-148.0,820.0,122901.0,122901.0
117.0,-2423.0,-164.0,823.0,123144.0,123144.0
118.0,-2420.0,-190.0,810.0,123169.0,123169.0
119.0,-2419.0,-204.0,823.0,122779.0,122779.0
120.0,-2403.0,-212.0,825.0,122528.0,122528.0
121.0,-2394.0,-228.0,812.0,122596.0,122596.0
122.0,-2377.0,-242.0,821.0,122694.0,122694.0
123.0,-2367.0,-264.0,840.0,123004.0,123004.0
124.0,-2353.0,-262.0,825.0,123173.0,123173.0
125.0,-2351.0,-256.0,817.0,122956.0,122956.0
126.0,-2334.0,-270.0,816.0,122891.0,122891.0
127.0,-2352.0,-258.0,816.0,123193.0,123193.0
